Gene	sgRNA	Pmel1_Input|beta	Pmel1_Input|z	Pmel1_Input|p-value	Pmel1_Input|fdr	Pmel1_Input|wald-p-value	Pmel1_Input|wald-fdr	Pmel1_Ctrl|beta	Pmel1_Ctrl|z	Pmel1_Ctrl|p-value	Pmel1_Ctrl|fdr	Pmel1_Ctrl|wald-p-value	Pmel1_Ctrl|wald-fdr	Pmel1|beta	Pmel1|z	Pmel1|p-value	Pmel1|fdr	Pmel1|wald-p-value	Pmel1|wald-fdr
Defb34	4	0.087884	0.43925	0.47746	0.87006	0.66048	0.99994	-0.010034	-0.048947	0.88213	0.99342	0.96096	1	-0.068015	-0.33159	0.46719	0.96034	0.7402	0.8645
Mndal	4	0.28286	1.0518	0.027853	0.20029	0.29291	0.99994	0.03385	0.12255	0.36264	0.93726	0.90246	1	-0.16179	-0.58496	0.6615	0.979	0.55858	0.73198
Cox8c	4	0.21214	1.1061	0.10358	0.45178	0.26866	0.99994	-0.031618	-0.16143	0.8244	0.98741	0.87175	1	-0.49136	-2.5061	0.60366	0.97086	0.012209	0.061115
Poldip3	4	0.12526	0.35189	0.33332	0.77794	0.72492	0.99994	-0.1232	-0.33647	0.09291	0.70092	0.73652	1	-0.45027	-1.2224	0.68346	0.979	0.22157	0.41208
Bcas2	4	-0.19667	-0.91823	0.45926	0.86076	0.3585	0.99994	0.031254	0.14311	0.38551	0.94041	0.8862	1	-0.45753	-2.0927	0.66994	0.979	0.036373	0.12485
Klk1b9	4	-0.22027	-0.77096	0.40798	0.832	0.44073	0.99994	-0.019697	-0.067311	0.98465	0.99825	0.94633	1	-0.4433	-1.5109	0.69835	0.98021	0.13081	0.29156
Sh3bgr	4	0.020938	0.10124	0.78663	0.97349	0.91936	0.99994	0.020906	0.099235	0.49169	0.97064	0.92095	1	-0.06894	-0.32719	0.46887	0.96084	0.74352	0.86696
Fancb	4	-0.045628	-0.22019	0.92625	0.99254	0.82572	0.99994	-0.0033119	-0.015668	0.78714	0.98741	0.9875	1	-0.86424	-4.0777	0.14983	0.90229	4.549e-05	0.0018154
Cd52	4	0.10754	0.48121	0.39949	0.82737	0.63037	0.99994	0.0022605	0.0098966	0.71314	0.98741	0.9921	1	-0.42692	-1.8665	0.73525	0.98464	0.061965	0.17683
Mrgprg	4	0.042438	0.17716	0.68524	0.94979	0.85938	0.99994	-0.06015	-0.24598	0.48859	0.97007	0.80569	1	-0.19204	-0.78459	0.72905	0.98397	0.4327	0.62687
Psme4	4	0.050874	0.14473	0.64605	0.93973	0.88492	0.99994	0.07617	0.21095	0.099365	0.71366	0.83292	1	0.21884	0.60712	0.10241	0.83974	0.54377	0.71982
Zfp955a	4	0.034463	0.13534	0.72335	0.95808	0.89234	0.99994	-0.052904	-0.20267	0.5663	0.98358	0.8394	1	-0.29593	-1.1309	0.97037	0.99908	0.25811	0.45422
Olfr823	4	0.14151	1.2725	0.27736	0.72724	0.2032	0.99994	0.012075	0.10636	0.59344	0.98614	0.9153	1	-0.37243	-3.2743	0.85342	0.99624	0.0010594	0.012939
Chac2	4	-0.077823	-0.4018	0.80534	0.97724	0.68783	0.99994	-0.098184	-0.49596	0.19161	0.84009	0.61992	1	-0.2868	-1.4466	0.94928	0.99908	0.14801	0.31567
Tas2r138	4	0.082448	0.23392	0.5016	0.88416	0.81505	0.99994	-0.0029874	-0.0081519	0.78221	0.98741	0.9935	1	0.46196	1.2677	0.021042	0.57983	0.20491	0.39113
Arxes2	4	0.25719	1.4669	0.045845	0.27576	0.14241	0.99994	0.038555	0.21513	0.32086	0.93395	0.82967	1	-0.42284	-2.3568	0.74338	0.9852	0.018431	0.079559
Bnip2	4	0.32291	1.1015	0.010826	0.1028	0.2707	0.99994	0.018352	0.061064	0.51797	0.97267	0.95131	1	-0.27289	-0.90654	0.91736	0.99908	0.36465	0.56403
Tmsb15b2	3	0.17137	1.3519	0.26119	0.70902	0.17641	0.99994	-0.018375	-0.14213	0.9999	0.99995	0.88698	1	-0.083107	-0.64254	0.5324	0.96626	0.52052	0.70261
Olfr1441	4	0.12915	0.73388	0.32051	0.76781	0.46302	0.99994	-0.058551	-0.32576	0.50501	0.97267	0.74461	1	-0.45924	-2.5508	0.66653	0.979	0.010748	0.056362
D3Ertd751e	4	0.14959	0.68601	0.25083	0.69664	0.49271	0.99994	0.030229	0.13559	0.39548	0.94752	0.89215	1	-0.65109	-2.9131	0.35299	0.93759	0.0035788	0.028041
Rfpl4	4	-0.085131	-0.37201	0.77916	0.97167	0.70989	0.99994	-0.04503	-0.19241	0.65764	0.98741	0.84742	1	-0.39847	-1.698	0.79787	0.99104	0.089512	0.2269
1700109H08Rik	4	-0.16854	-0.62568	0.52834	0.89899	0.53152	0.99994	-0.035637	-0.13018	0.7723	0.98741	0.89642	1	-0.79111	-2.8898	0.20269	0.92895	0.0038552	0.029421
Msantd3	4	-0.043543	-0.2702	0.93464	0.99254	0.78701	0.99994	0.0040931	0.024951	0.68966	0.98741	0.98009	1	-0.50484	-3.074	0.57936	0.96858	0.0021119	0.019957
4930596D02Rik	4	-0.046784	-0.13781	0.92097	0.99254	0.89039	0.99994	0.0058663	0.016994	0.66719	0.98741	0.98644	1	-0.78746	-2.2798	0.2064	0.93117	0.022623	0.09119
Zfp963	4	0.01421	0.055555	0.81764	0.97984	0.9557	0.99994	-0.062077	-0.23803	0.46938	0.96838	0.81186	1	-0.12478	-0.47817	0.57952	0.96858	0.63253	0.78951
Ncapg2	4	-0.90488	-1.5476	0.0088945	0.08979	0.12171	0.99994	-0.10812	-0.1778	0.14485	0.79371	0.85888	1	-0.41892	-0.68521	0.75222	0.9852	0.49321	0.67983
Abca6	4	-0.052443	-0.28493	0.90043	0.99044	0.77569	0.99994	-0.020283	-0.10804	0.97713	0.99772	0.91396	1	-0.49188	-2.6165	0.603	0.97086	0.0088839	0.050155
Brix1	4	-2.0925	-4.3622	0.00010165	0.0038462	1.2876e-05	0.00074076	-0.0052458	-0.010766	0.8124	0.98741	0.99141	1	-1.3185e-05	-2.7026e-05	0.34348	0.93533	0.99998	1
Rdx	4	0.019486	0.10044	0.79299	0.97457	0.91999	0.99994	0.060873	0.30774	0.16681	0.81403	0.75828	1	-0.34625	-1.7498	0.91421	0.99908	0.080157	0.21014
Ccdc68	4	0.080395	0.30706	0.50958	0.88702	0.7588	0.99994	-0.0099822	-0.037396	0.88127	0.99301	0.97017	1	0.038882	0.14566	0.28325	0.93533	0.88419	0.9549
Prnp	4	0.053441	0.38895	0.63476	0.93928	0.69732	0.99994	-0.07163	-0.51193	0.37266	0.93893	0.6087	1	-0.32818	-2.3446	0.95619	0.99908	0.01905	0.081372
Clec4a1	4	0.0012073	0.0068705	0.87619	0.98808	0.99452	0.99994	0.022341	0.12443	0.47604	0.96838	0.90098	1	-0.17768	-0.98875	0.69728	0.98021	0.32279	0.52335
Mpz	4	0.23971	1.2295	0.064396	0.34179	0.2189	0.99994	-0.10368	-0.52197	0.1632	0.81075	0.60169	1	-0.57899	-2.9149	0.45418	0.95808	0.0035582	0.027936
Ctps2	4	0.31577	1.1232	0.012961	0.11644	0.26136	0.99994	-0.0086207	-0.029893	0.86104	0.98995	0.97615	1	-0.49944	-1.7268	0.58953	0.96949	0.084199	0.21752
Galnt3	4	0.084493	0.47065	0.49296	0.87954	0.63789	0.99994	-0.033111	-0.17977	0.80422	0.98741	0.85734	1	0.035663	0.1936	0.28793	0.93533	0.84649	0.93183
Cpq	4	0.21849	0.3931	0.091995	0.42103	0.69425	0.99994	0.00029131	0.00050646	0.73794	0.98741	0.9996	1	0.61033	1.0626	0.0091995	0.46552	0.28798	0.48735
Neil1	4	-0.17144	-0.60403	0.52066	0.89487	0.54583	0.99994	0.031815	0.10975	0.38058	0.94034	0.91261	1	-0.45132	-1.5546	0.68142	0.979	0.12003	0.27589
Vmn1r197	4	0.038202	0.12234	0.70562	0.95568	0.90263	0.99994	-0.060303	-0.1883	0.48701	0.97007	0.85064	1	-0.57859	-1.7957	0.45515	0.95889	0.072545	0.19629
Phf7	4	0.080794	0.33355	0.50816	0.88632	0.73872	0.99994	-0.01725	-0.069783	0.98119	0.99825	0.94437	1	-0.60277	-2.4356	0.41931	0.9557	0.014868	0.069318
Arl6ip1	4	-0.22328	-0.97187	0.40213	0.82822	0.33112	0.99994	-0.02213	-0.094653	0.95314	0.99628	0.92459	1	-0.4674	-1.9977	0.64966	0.97819	0.045751	0.14474
Pilra	4	0.17032	0.58818	0.1938	0.62365	0.55641	0.99994	-0.0016946	-0.0057329	0.76457	0.98741	0.99543	1	-0.28775	-0.97228	0.95156	0.99908	0.33091	0.53136
Olfr432	4	0.10907	0.41839	0.39334	0.82284	0.67566	0.99994	-0.024341	-0.091604	0.92208	0.99601	0.92701	1	-0.18078	-0.68011	0.70333	0.98044	0.49643	0.68289
Mtg2	4	-2.3944	-4.6935	0	0	2.686e-06	0.00020643	-0.31575	-0.60887	0.00035578	0.024823	0.54261	1	-0.0007934	-0.0015294	0.3449	0.93533	0.99878	1
Tmcc2	4	-0.081401	-0.42101	0.79177	0.97399	0.67375	0.99994	0.091617	0.46469	0.055705	0.57889	0.64215	1	0.0043272	0.021953	0.33657	0.93533	0.98249	1
